"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B67032:981249","LDCSB Summer School","London District Catholic School Board","Summer","5200 Wellington Road","London","Ontario","Canada","N6E 3X8"
"on-provider:B66206:994413","Limestone District School Board Night School","Limestone DSB","Continuing Education","Suite c/o Calvin Park PS, 164 Van Order Dr","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B66206:980307","Limestone District School Board Summer School","Limestone DSB","Summer","Suite c/o Calvin Park, 164 Van Order Dr","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B66206:939348","Limestone Online Secondary School","Limestone DSB","Online School","164 Dri Van Order","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B67202:728420","Loyola Community Learning Centre","Algonquin and Lakeshore CDSB","Adult","1440 Princess Street","Kingston","Ontario","Canada","K7M 3E5"
"on-provider:B28029:990498","Manitoulin Night School","Rainbow DSB","Continuing Education","PO Box Box 307, 107 Bay St","M'Chigeeng","Ontario","Canada","P0P 1G0"
"on-provider:B66095:985761","Maple Secondary Summer School","York Region DSB","Summer","50 Springside Rd","Maple","Ontario","Canada","L6A 2W5"
"on-provider:B66095:992070","Middlefield IL Night School","York Region DSB","Continuing Education","525 Highglen Ave","Markham","Ontario","Canada","L3S 3L5"
"on-provider:B66095:981610","Middlefield Secondary Summer School","York Region DSB","Summer","525 Highglen Ave","Markham","Ontario","Canada","L3S 3L5"
"on-provider:B66095:995525","Milliken Mills Night School","York Region DSB","Continuing Education","7522 Kennedy Rd","Unionville","Ontario","Canada","L3R 9S5"
"on-provider:B66095:988815","Milliken Mills Secondary Summer School","York Region DSB","Summer","7522 KENNEDY RD","MARKHAM","Ontario","Canada","L3R 9S5"
"on-provider:B67059:994092","Monsignor Fraser College - Isabella","Toronto CDSB","Continuing Education","146 ISABELLA ST","TORONTO","Ontario","Canada","M4Y 1P6"
"on-provider:B67059:999689","Monsignor Fraser College - Midland","Toronto CDSB","Continuing Education","2900 MIDLAND AVE","SCARBOROUGH","Ontario","Canada","M1S 3K8"
"on-provider:B67059:733490","Msgr Fraser Orientation Centre","Toronto CDSB","Adult","146 Isabella St","Toronto","Ontario","Canada","M4Y 1P6"
"on-provider:B28037:999260","Near North Continuing Education Centre School","Near North DSB","Continuing Education","647 McKay Avenue","North Bay","Ontario","Canada","P1B 8H1"
"on-provider:B28037:991880","Near North District School Board Night School","Near North DSB","Continuing Education","963 Airport Road","North Bay","Ontario","Canada","P1B 8H1"
"on-provider:B28037:980315","Near North School Board Summer School","Near North DSB","Summer","647 McKay Ave","North Bay","Ontario","Canada","P1B 7V7"
"on-provider:B66095:984740","Newmarket Secondary Summer School","York Region DSB","Summer","505 PICKERING CRES","NEWMARKET","Ontario","Canada","L3Y 8H1"
"on-provider:B67156:848985","Niagara Catholic Online Secondary School","Niagara CDSB","Online School","25 Whyte Avenue","Thorold","Ontario","Canada","L2V 2T4"
"on-provider:B67156:798310","Niagara Catholic Virtual Secondary School","Niagara CDSB","Online School","427 Rice Road","Welland","Ontario","Canada","L3C 7C1"
"on-provider:B66141:991171","Night School Hill Park Night School","Hamilton-Wentworth DSB","Continuing Education","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66117:994294","Night School-Wellington Centre for ContE","Upper Grand DSB","Continuing Education","1428 Gordon St","Guelph","Ontario","Canada","N1H 1C8"
"on-provider:B66141:987640","Nora Henderson Summer School","Hamilton-Wentworth DSB","Summer","25 High Street Road","Hamilton","Ontario","Canada","L8T 3Z4"
"on-provider:B28010:995819","North Shore Adult Education School","Algoma DSB","Continuing Education","303 Mississauga Ave","Elliot Lake","Ontario","Canada","P5A 1E8"
"on-provider:B28010:992569","North Shore Night School","Algoma DSB","Continuing Education","303 Mississauga","Elliot Lake","Ontario","Canada","P5A 1E8"
"on-provider:B28010:980471","North Shore Summer School","Algoma DSB","Summer","303 Mississauga Ave","Elliot Lake","Ontario","Canada","P5A 1E8"
"on-provider:B29041:995797","Northwest CDSB School of Contd Ed Night School","Northwest CDSB","Continuing Education","555 Flinders Ave","Fort Frances","Ontario","Canada","P9A 3L2"
"on-provider:B29017:750983","NPSCDSB Virtual Secondary School","Nipissing-Parry Sound CDSB","Remote School","675 O'Brien Street undefined","North Bay","Ontario","Canada","P1B 9R3"
"on-provider:B66184:995622","OCDSB-International Languages","Ottawa-Carleton DSB","Continuing Education","Suite c/o Ottawa-Carlton DSB, PO Box Room E121, 440 Albert St","Ottawa","Ontario","Canada","K1R 5B5"
"on-provider:B66184:995533","OCDSB-Night School","Ottawa-Carleton DSB","Continuing Education","Suite Room E121, 440 Albert St","Ottawa","Ontario","Canada","K1R 5B5"
"on-provider:B66184:993239","OCDSB-School of Cont. Ed.","Ottawa-Carleton DSB","Continuing Education","440 Albert St","Ottawa","Ontario","Canada","K1R 5B5"
"on-provider:B66184:980366","OCDSB-Summer School","Ottawa-Carleton DSB","Summer","Suite Room E121, 440 Albert St","Ottawa","Ontario","Canada","K1R 5B5"
"on-provider:B67180:992178","OCSB Continuing Education Night School","Ottawa CSB","Continuing Education","570 West Hunt Club Rd","Ottawa","Ontario","Canada","K2G 3R4"
"on-provider:B66184:923639","Ottawa Carleton Virtual Secondary School","Ottawa-Carleton DSB","Remote School","Suite 121, 1645 Woodroffe","Nepean","Ontario","Canada","K2G 1W2"
"on-provider:B67091:991618","Our Lady of Hope Catholic Continuing Education Catholic School","Simcoe Muskoka CDSB","Continuing Education","243 Cundles Road East Road","Barrie","Ontario","Canada","L4M 6L1"
"on-provider:B66001:980706","Owen Sound Collegiate Summer School","Bluewater DSB","Summer","1550 8th ST E","Owen Sound","Ontario","Canada","N4K 0A2"
"on-provider:B28002:933287","PACE","DSB Ontario North East","Adult","Suite 302, 273 Third Ave","Timmins","Ontario","Canada","P4N 1E2"
"on-provider:B66125:996637","Peel Continuing Education - Night Night School","Peel DSB","Continuing Education","Suite c/o Peel Board of Education, 100 Elm Drive West Drive","Mississauga","Ontario","Canada","L5B 1L9"
"on-provider:B66125:980412","Peel Continuing Education Summer School","Peel DSB","Summer","100 Elm Drive West Drive","Mississauga","Ontario","Canada","L4B 1L9"
"on-provider:B66125:938684","Peel eLearning/OeLC Secondary School","Peel DSB","Online School","155 Cherrytree Drive","Brampton","Ontario","Canada","L6Y 3M9"
"on-provider:B66125:960553","Peel Virtual Secondary School","Peel DSB","Remote School","155 Cherrytree Dr","Brampton","Ontario","Canada","L6Y 3M9"
"on-provider:B66125:935832","Port Credit Secondary School","Peel DSB","Not applicable","70 Mineola Rd E","Mississauga","Ontario","Canada","L5G 2E5"
"on-provider:B67318:998567","Programme d'éducation permanente","CS catholique MonAvenir","Continuing Education","44 Appian promenade","Toronto","Ontario","Canada","M2J 2P9"
"on-provider:B67326:993701","Programmes d'éducation permanente","CSDC de l'Est ontarien","Continuing Education","429 Abbott rue","Hawkesbury","Ontario","Canada","K6A 2E2"
"on-provider:B67067:990462","PVNC Continuing Education Program High School Night School","Peterborough Victoria Northumberland and Clarington CDSB","Continuing Education","1355 Lansdowne St W","Peterborough","Ontario","Canada","K9J 7M3"
"on-provider:B67067:761361","PVNC Online Catholic School","Peterborough Victoria Northumberland and Clarington CDSB","Online School","260 Angeline Street","Lindsay","Ontario","Canada","K9V 0J8"
"on-provider:B66222:997099","Quinte Adult Education","Hastings & Prince Edward DSB","Continuing Education","224 Palmer Rd","Belleville","Ontario","Canada","K8P 4E1"
"on-provider:B28029:980056","Rainbow DSB Summer School","Rainbow DSB","Summer","298 College St","Sudbury","Ontario","Canada","P3C 5T2"
"on-provider:B28053:998985","Rainy River DSB Night School","Rainy River DSB","Continuing Education","522 Second Street East","Fort Frances","Ontario","Canada","P9A 1N4"
"on-provider:B66214:937983","Renfrew County Adult Day School","Renfrew County DSB","Not applicable","480 Mary St","Pembroke","Ontario","Canada","K8A 5W9"
"on-provider:B66214:992798","Renfrew County Alternative Program School","Renfrew County DSB","Continuing Education","480 Mary St","Pembroke","Ontario","Canada","K8A 5W9"
"on-provider:B67199:712927","Renfrew County Catholic Virtual School S Secondary School","Renfrew County CDSB","Remote School","499 Pembroke Street","Pembroke","Ontario","Canada","K8A 5P1"
"on-provider:B67199:981087","Renfrew County Roman Catholic Separate School Board Summer School","Renfrew County CDSB","Summer","499 Pembroke St W","Pembroke","Ontario","Canada","K8A 5P1"
"on-provider:B66095:986499","Richmond Green Secondary Summer School","York Region DSB","Summer","1 William F. Bell Parkway","Richmond Hill","Ontario","Canada","L4S 2T9"
"on-provider:B67016:994466","Saint Carlo Acutis Continuing Education School","Huron Perth CDSB","Continuing Education","240 Perth Road 180","Dublin","Ontario","Canada","N0K 1E0"
"on-provider:B67016:985418","Saint Carlo Acutis Summer School","Huron Perth CDSB","Summer","3927 Perth Road 180","Dublin","Ontario","Canada","N0K 1E0"
"on-provider:B28010:997617","Sault Ste Marie Adult Learning Centre","Algoma DSB","Continuing Education","440 Northland RD","Sault Ste Marie","Ontario","Canada","P6C 3N5"
"on-provider:B28010:994774","Sault Ste. Marie Night School","Algoma DSB","Continuing Education","232 Northern Avenue","Sault Ste Marie","Ontario","Canada","P6B 4H6"
"on-provider:B66052:993734","SCAS-Adult","Toronto DSB","Continuing Education","720 Midland Avenue","Toronto","Ontario","Canada","M1K 4C9"
"on-provider:B66125:647605","Sensoree/West Credit SS","Peel DSB","Care/Treatment Facility","104 Queen St W","Brampton","Ontario","Canada","L6X 1H4"
"on-provider:B28070:999301","SGDSB Continuing Education School","Superior-Greenstone DSB","Continuing Education","12 Hemlo Dr","Marathon","Ontario","Canada","P0T 2E0"
"on-provider:B28070:987606","SGDSB Summer School","Superior-Greenstone DSB","Summer","12 Hemlo Dr","Marathon","Ontario","Canada","P0T 2E0"
"on-provider:B28070:936615","SGDSB Virtual Secondary School","Superior-Greenstone DSB","Remote School","12 Hemlo Drive","Marathon","Ontario","Canada","P0T 2E0"
"on-provider:B66109:980340","Simcoe County B of E Summer School","Simcoe County DSB","Summer","1170 Hwy 26","Midhurst","Ontario","Canada","L9X 1N6"
"on-provider:B66109:998214","Simcoe County Night School","Simcoe County DSB","Continuing Education","1170 26 Hwy","Midhurst","Ontario","Canada","L9X 1N6"
"on-provider:B66095:987274","Sir William Mulock Secondary Summer School","York Region DSB","Summer","705 Columbus Way","Newmarket","Ontario","Canada","L3X 2M7"
"on-provider:B29076:983241","SNCDSB Secondary Summer School Program Summer School","Superior North CDSB","Summer","62 St Salls","Red Rock","Ontario","Canada","P0T 2P0"
"on-provider:B29033:997625","St Albert Adult Learning Centre","Sudbury CDSB","Continuing Education","504 St. Raphael Street","Sudbury","Ontario","Canada","P3B 1M4"
"on-provider:B67156:997579","St Ann Adult Learning Centre","Niagara CDSB","Continuing Education","5895 North St","Niagara Falls","Ontario","Canada","L2G 1J7"
"on-provider:B67121:838541","St. Charles Catholic Adult Secondary School","Hamilton-Wentworth CDSB","Alternative","150 East 5th","Hamilton","Ontario","Canada","L9A 2Z8"
"on-provider:B67121:998566","St. Charles East 5th Night School","Hamilton-Wentworth CDSB","Continuing Education","150 East 5th Street","Hamilton","Ontario","Canada","L9A 2Z8"
"on-provider:B67040:995262","St Clair ConEd - Literacy & Numeracy","St Clair CDSB","Continuing Education","420 Creek St.","Wallaceburg","Ontario","Canada","N8A 4C4"
"on-provider:B67040:990950","St Clair ConEd School - Adult Credit","St Clair CDSB","Continuing Education","420 Creek St.","Wallaceburg","Ontario","Canada","N8A 4C4"
"on-provider:B67040:997852","St Clair ConEd School - Correspondence","St Clair CDSB","Continuing Education","420 Creek St.","Wallaceburg","Ontario","Canada","N8A 4C4"
"on-provider:B67040:988557","St Clair ConEd - Summer School","St Clair CDSB","Summer","420 Creek St.","Wallaceburg","Ontario","Canada","N8A 4C4"
"on-provider:B67083:990401","St Gabriel Adult Education Centre Day","Dufferin-Peel CDSB","Continuing Education","3750 Brandon Gate Drive","Mississauga","Ontario","Canada","L4T 3M8"
"on-provider:B67083:995681","St Gabriel Adult Education Centre Night School","Dufferin-Peel CDSB","Continuing Education","3750 Brandon Gate Dr","Mississauga","Ontario","Canada","L4T 3M8"
"on-provider:B67156:997587","St John Adult Day Learning Centre","Niagara CDSB","Continuing Education","145 Niagara St","St Catharines","Ontario","Canada","L2R 4L7"
"on-provider:B67156:994952","St John Adult Night Learning Centre","Niagara CDSB","Continuing Education","145 Niagara St","St Catharines","Ontario","Canada","L2R 4L7"
"on-provider:B67156:981745","St John Summer School","Niagara CDSB","Summer","145 Niagara St","St Catharines","Ontario","Canada","L2R 4L7"
"on-provider:B29017:995711","St. Joseph Adult Education Campus","Nipissing-Parry Sound CDSB","Continuing Education","570 First Avenue E.","North Bay","Ontario","Canada","P1B 1K6"
"on-provider:B29017:995720","St Joseph-Scollard Hall Family School","Nipissing-Parry Sound CDSB","Continuing Education","570 First Avenue E","North Bay","Ontario","Canada","P1B 1K6"
"on-provider:B29017:995738","St Joseph-Scollard Hall New Horizons School","Nipissing-Parry Sound CDSB","Continuing Education","570 First Avenue E.","North Bay","Ontario","Canada","P1B 1K6"
"on-provider:B29017:981826","St Joseph-Scollard Hall Summer School","Nipissing-Parry Sound CDSB","Summer","675 O'Brien St","North Bay","Ontario","Canada","P1B 9R3"
"on-provider:B67180:725623","St Josephine Virtual High School Catholic School","Ottawa CSB","Remote School","570 West Hunt Club Road","Nepean","Ontario","Canada","K2G 3R4"
"on-provider:B67083:995257","St. Kateri Tekakwitha Catholic LearningC","Dufferin-Peel CDSB","Continuing Education","3566 South Common Crt.","Mississauga","Ontario","Canada","L5L 2B1"
"on-provider:B67075:707523","St. Katharine Drexel Catholic Secondary School","York CDSB","Temporary Remote Learning School","55 Meridian Drive","Stouffville","Ontario","Canada","L4A 4X5"
"on-provider:B67148:998819","St Louis Continuing Education Programs School","Waterloo CDSB","Continuing Education","80 Young Street","Kitchener","Ontario","Canada","N2H 4Z1"
"on-provider:B67148:996165","St Louis Correspondence High School","Waterloo CDSB","Continuing Education","80 YOUNG ST","KITCHENER","Ontario","Canada","N2H 4Z1"
"on-provider:B67148:991514","St Louis Homework Club SS Secondary School","Waterloo CDSB","Continuing Education","80 Young Street","Kitchener","Ontario","Canada","N2H 4Z1"
"on-provider:B67148:992479","St Louis (K/W) Adult School","Waterloo CDSB","Continuing Education","80 YOUNG ST","KITCHENER","Ontario","Canada","N2H 4Z1"
"on-provider:B67164:706139","St. Mary Catholic Learning Centre","Brant Haldimand Norfolk CDSB","Adult","455 Colborne Street","Brantford","Ontario","Canada","N3S 3N8"
"on-provider:B67024:718018","St. Michael's Adult High School","Windsor-Essex CDSB","Adult","441 Tecumseh Rd.","Windsor","Ontario","Canada","N8X 2R7"
"on-provider:B67180:836265","St Nicholas Adult High School","Ottawa CSB","Not applicable","893 Admiral Ave","Ottawa","Ontario","Canada","K1Z 6L6"
"on-provider:B67032:997676","St. Patrick Adult & Continuing Education","London District Catholic School Board","Continuing Education","1230 King St","London","Ontario","Canada","N5W 2Y2"
"on-provider:B29050:996169","St. Thomas Aquinas Continuing Education School","Kenora CDSB","Continuing Education","1 Poirier Drive","Kenora","Ontario","Canada","P9N 4G8"
"on-provider:B29050:982858","St. Thomas Aquinas Summer School","Kenora CDSB","Summer","1 Poirier Dr","Kenora","Ontario","Canada","P9N 4G8"
"on-provider:B66095:982674","Stephen Lewis Secondary Summer School","York Region DSB","Summer","555 Autumn Hill Blvd","Thornhill","Ontario","Canada","L3T 2E5"
"on-provider:B29033:980927","Sudbury Catholic DSB Summer School","Sudbury CDSB","Summer","165A D'Youville St","Sudbury","Ontario","Canada","P3C 5E7"
"on-provider:B66141:980312","Summer Coop Summer School","Hamilton-Wentworth DSB","Summer","Suite 3rd Floor, 225 King William Street","Hamilton","Ontario","Canada","L8R 1B1"
"on-provider:B66141:986529","Summer eLearning Summer School","Hamilton-Wentworth DSB","Summer","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66141:986046","Summer Reach Ahead Summer School","Hamilton-Wentworth DSB","Summer","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B29076:994714","Superior North Catholic District School Board Virtual School Catholic School","Superior North CDSB","Continuing Education","200 Salls St.","Red Rock","Ontario","Canada","P0T 2P0"
"on-provider:B66095:981532","Sutton District Night School","York Region DSB","Summer","36 Regatta AVe","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66095:998222","Sutton Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66192:945072","T R Leger School of Adult & Continuing Secondary School","Upper Canada DSB","Alternative","600 McConnell Ave","Cornwall","Ontario","Canada","K6H 4M1"
"on-provider:B66052:996701","TDSB Literacy/Numeracy Sec Regular","Toronto DSB","Continuing Education","2 Trethewey Drive","York","Ontario","Canada","M6M 4A8"
"on-provider:B66052:999741","TDSB Secondary Credit Night School","Toronto DSB","Continuing Education","640 Lawrence Avenue","North York","Ontario","Canada","M6A 1B1"
"on-provider:B66052:980250","TDSB Secondary Credit Summer School","Toronto DSB","Summer","2 Trethewey Drive","Toronto","Ontario","Canada","M6M 4A8"
"on-provider:B66052:998940","TDSB Virtual School","Toronto DSB","Continuing Education","296 Pleasant Avenue","Toronto","Ontario","Canada","M2R 2R1"
"on-provider:B67113:684465","Thomas Merton Catholic Secondary School","Halton CDSB","Adult","255 Morden Road","Oakville","Ontario","Canada","L6K 2S2"
"on-provider:B67113:999340","Thomas Merton - Independent Study","Halton CDSB","Continuing Education","2800 High Point Drive","Milton","Ontario","Canada","L9T 6P4"
"on-provider:B67113:771120","Thomas Merton Online Catholic School","Halton CDSB","Not applicable","225 Morden Road","Oakville","Ontario","Canada","L6K 2S2"
"on-provider:B66095:996006","Thornlea International Languages Night School","York Region DSB","Continuing Education","8075 Bayview Avenue","Thornhill","Ontario","Canada","L3T 4N4"
"on-provider:B66095:998354","Thornlea Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66095:984605","Thornlea Secondary Summer School","York Region DSB","Summer","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B29068:999114","Thunder Bay Catholic DSB Night School","Thunder Bay CDSB","Continuing Education","Suite 2nd floor, 115 Mary St W","Thunder Bay","Ontario","Canada","P7E 4K5"
"on-provider:B29068:981842","Thunder Bay Catholic DSB Summer School","Thunder Bay CDSB","Summer","621 Selirk St S","Thunder Bay","Ontario","Canada","P7E 1T9"
"on-provider:B29068:732832","Thunder Bay Catholic Virtual Secondary","Thunder Bay CDSB","Remote School","459 Victoria Avenue","Thunder Bay","Ontario","Canada","P7C 0A4"
"on-provider:B67059:995185","Toronto Catholic DSB Night School","Toronto CDSB","Continuing Education","80 Sheppard Ave","Toronto","Ontario","Canada","M2N 6E8"
"on-provider:B67059:981230","Toronto Catholic DSB Summer School","Toronto CDSB","Summer","80 Sheppard Ave E","Willowdale","Ontario","Canada","M2N 6E8"
"on-provider:B66192:998935","TR Leger Adult Con Ed Secondary School","Upper Canada DSB","Continuing Education","600 McConnell Ave","Cornwall","Ontario","Canada","K6H 4M1"
"on-provider:B66087:990680","Trillium Lakelands Adult Continuing Educ Night School","Trillium Lakelands DSB","Continuing Education","230 Angeline St S","Lindsay","Ontario","Canada","K9V 4R2"
"on-provider:B66087:989128","Trillium Summer School","Trillium Lakelands DSB","Summer","230 Angeline Street","Lindsay","Ontario","Canada","K9V 4R2"
"on-provider:B66117:919806","UGDSB Online Learning Program","Upper Grand DSB","Online School","500 Victoria Road","Guelph","Ontario","Canada","N1E 6K2"
"on-provider:B66095:998630","Unionville IL Night School","York Region DSB","Continuing Education","201 Town Centre Blvd","Markham","Ontario","Canada","L3R 5P9"
"on-provider:B66095:980873","Unionville Secondary Summer School","York Region DSB","Summer","201 TOWN CENTRE BLVD","MARKHAM","Ontario","Canada","L3R 8G5"
"on-provider:B66192:995180","Upper Canada Dist School Board Program Night School","Upper Canada DSB","Continuing Education","600 McConnell Ave","Cornwall","Ontario","Canada","K6H 4M1"
"on-provider:B66192:980382","Upper Canada District School Board Summer School","Upper Canada DSB","Summer","600 McConnell Ave","Cornwall","Ontario","Canada","K6H 4M1"
"on-provider:B67130:866876","Virtual School - Secondary","Wellington CDSB","Remote School","75 Woolwich Street","Guelph","Ontario","Canada","N1H 3V1"
"on-provider:B66052:936990","Virtual Secondary School Secondary School","Toronto DSB","Remote School","725 Bathurst St","Toronto","Ontario","Canada","M5S 2R5"
"on-provider:B67148:990256","Waterloo CDSB Night School","Waterloo CDSB","Continuing Education","80 Young Street","Kitchener","Ontario","Canada","N2H 4Z1"
"on-provider:B67130:874374","Wellington Catholic Online School","Wellington CDSB","Online School","225 Speedvale Avenue","Guelph","Ontario","Canada","N1H 1C5"
"on-provider:B66117:996959","Wellington Centre for Cont Ed","Upper Grand DSB","Continuing Education","1428 Gordon St","Guelph","Ontario","Canada","N1L 1C8"
"on-provider:B66117:980293","Wellington Summer School","Upper Grand DSB","Summer","1428 Gordon St","Guelph","Ontario","Canada","N1L 1C8"
"on-provider:B66125:951404","West Credit Secondary School","Peel DSB","Vocational/Occupational","6325 Montevideo Rd","Mississauga","Ontario","Canada","L5N 4G7"
"on-provider:B66095:981516","Westmount Collegiate Institute Summer School","York Region DSB","Summer","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B67024:999431","Windsor-Essex CDSB Night School","Windsor-Essex CDSB","Continuing Education","465 Victoria Ave","Windsor","Ontario","Canada","N9A 4N1"
"on-provider:B67024:980218","Windsor-Essex CDSB Summer School","Windsor-Essex CDSB","Summer","735 Tuscarora St.","Windsor","Ontario","Canada","N9A 3M7"
"on-provider:B66095:981385","Woodbridge Secondary Summer School","York Region DSB","Summer","71 Spruce Street","Woodbridge","Ontario","Canada","L4L 1J3"
"on-provider:B66176:994090","WRDSB International Language Program","Waterloo Region DSB","Continuing Education","108 University Avenue","Waterloo","Ontario","Canada","N2J 2W2"
"on-provider:B66176:991406","WRDSB Night School","Waterloo Region DSB","Continuing Education","108 University Ave","Waterloo","Ontario","Canada","N2J 2W1"
"on-provider:B66095:999970","York Region B of E Continuing Education Night School","York Region DSB","Continuing Education","36 REGATTA AVE","RICHMOND HILL","Ontario","Canada","L4E 4R1"
"on-provider:B66095:999547","York Region DSB Night School Online Learning","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 1R1"
"on-provider:B66095:980498","York Region DSB Summer School","York Region DSB","Summer","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 1R1"
"on-provider:B66095:981486","York Region DSB Summer School Online Learning","York Region DSB","Summer","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 1R1"
"on-provider:B67075:999946","York Region RCSSB Night School","York CDSB","Continuing Education","320 Bloomington Rd W","Aurora","Ontario","Canada","L4G 0M1"
"on-provider:B67075:980900","York Region RCSSB Summer School","York CDSB","Summer","320 Bloomington Rd W","Aurora","Ontario","Canada","L4G 0M1"
"on-provider:B66052:999920","Yorkdale Adult Learning Centre","Toronto DSB","Continuing Education","38 Orfus Rd","North York","Ontario","Canada","M6A 1L6"
"on-provider:B67148:644820","Young Adult Program","Waterloo CDSB","Care/Treatment Facility","850 King St W","Kitchener","Ontario","Canada","N2G 1E8"
"on-provider:B66095:994751","YRDSB - Continuing Education Night School Night School","York Region DSB","Continuing Education","39 Dunning Avenue","Aurora","Ontario","Canada","L4G 1A2"
"on-provider:B66095:997840","YRDSB - iGrad","York Region DSB","Continuing Education","39 Dunning Avenue","Aurora","Ontario","Canada","L4G 1A2"
"on-provider:B66095:999984","YRDSB - International Languages Site","York Region DSB","Continuing Education","555 Autumn Hill Blvd","Thornhill","Ontario","Canada","L4J 8X2"
"on-provider:B66095:998817","YRDSB - Night School","York Region DSB","Continuing Education","39 Dunning Avenue","Aurora","Ontario","Canada","L4G 1A2"
